,Title,Company,Location,Salary,Posted
160,"('WEB ANDROID PROGRAMMER',)","('PT Kedawung Setia Corrugated Carton Box Industrial',)","('Surabaya (Jawa Timur) - KARANGPILANG',)","IDR 5,000,000 - 10,000,000",22 Apr - 1:00 AM
161,"('JAVA SPRING BOOT PROGRAMMER',)","('Erajaya Group',)","('Jakarta Raya',)",Above Expected Salary,22 Apr - 1:00 AM
162,"('Programmer Staff',)","('Barantum',)","('Jakarta Raya',)",,22 Apr - 1:00 AM
163,"('Java Developer (Programmer)',)","('PT Abhimata Persada',)","('Jakarta Raya - jakarta Pusat',)",,22 Apr - 1:00 AM
164,"('Web Programmer',)","('PT Tjipta Widjaya Sejahtera Butik Dukomsel',)","('Bandung (Jawa Barat) - Jalan Ir. H. Juanda No.52',)","IDR 2,000,000 - 3,000,000",22 Apr - 1:00 AM
165,"('',)","('',)","('',)",,
166,"('Back End Programmer (Solo)',)","('Ellen May Institute',)","('Surakarta (Jawa Tengah)',)","IDR 3,000,000 - 5,000,000",22 Apr - 1:00 AM
167,"('Proswitching Progress Programmer',)","('PT. Elabram Systems',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 7,000,000 - 10,000,000",21 Apr - 9:59 AM
168,"('Web Developer (Programmer)',)","('PT. Alona Indonesia Raya',)","('Tangerang (Banten)',)","IDR 4,500,000 - 6,500,000",21 Apr - 1:00 AM
169,"('IT Programmer (Automation) - Manufacture (B-51920)',)","('RGF HR Agent Indonesia',)","('Jakarta Raya',)","IDR 5,000,000 - 6,000,000",20 Apr - 10:14 AM
170,"('TEKNISI ENGINEER (Programmer)',)","('PT SMT Indonesia',)","('Bekasi (Jawa Barat), Cikarang (Jawa Barat)',)",Above Expected Salary,19 Apr - 1:00 AM
171,"('IT Programmer Developer',)","('PT Santinilestari Energi Indonesia',)","('Pasuruan (Jawa Timur) - Pandaan',)",Above Expected Salary,18 Apr - 1:00 AM
172,"('Database Programmer (Administrator)',)","('Bufisa Global Datatech',)","('Jawa Barat - Bandung - Arcamanik',)",Above Expected Salary,17 Apr - 3:41 PM
173,"('IT Programmer & Application Support (SAP Project - Jakarta)',)","('PT Japfa Comfeed Indonesia, Tbk',)","('Jawa Tengah',)",Above Expected Salary,17 Apr - 1:00 AM
174,"('Programmer (Project)',)","('PT Phapros Tbk',)","('Semarang (Jawa Tengah)',)",Above Expected Salary,17 Apr - 1:00 AM
175,"('Programmer',)","('PT Lautan Natural Krimerindo',)","('Jawa Timur - Mojokerto',)",Above Expected Salary,17 Apr - 1:00 AM
176,"('Web Programmer',)","('PT Mulia Industrindo, Tbk',)","('Cikarang (Jawa Barat) - Cikarang',)",Above Expected Salary,16 Apr - 2:34 PM
177,"('Programmer Junior',)","('PT Sofco Graha',)","('Surabaya (Jawa Timur)',)",Above Expected Salary,16 Apr - 1:58 PM
178,"('Senior Programmer',)","('PT JAC Indonesia',)","('Jakarta Pusat (Jakarta Raya) - Sudirman',)","IDR 15,000,000 - 30,000,000",16 Apr - 12:23 PM
179,"('IT Support Consultant (Programmer)',)","('PT. Berca Hardayaperkasa',)","('Jakarta Raya',)",Above Expected Salary,16 Apr - 1:00 AM
180,"('Programmer',)","('PT. Salam Pacific Indonesia Lines',)","('Jawa Timur - Karet, Surabaya',)",Above Expected Salary,16 Apr - 1:00 AM
181,"('IT PROGRAMMER / APPLICATION DEVELOPER',)","('PT TDK ELECTRONICS INDONESIA',)","('Batam (Kepulauan Riau)',)","IDR 9,000,000 - 18,000,000",16 Apr - 1:00 AM
182,"('Android Programmer',)","('PT. Nowme Internasional Indonesia',)","('Tangerang (Banten)',)",Above Expected Salary,15 Apr - 9:54 PM
183,"('IT Programmer',)","('Musim Mas',)","('Medan (Sumatera Utara)',)","IDR 4,000,000 - 8,000,000",15 Apr - 12:35 PM
184,"('PROGRAMMER',)","('Yayasan Bina Nusantara',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary,13 Apr - 10:14 PM
185,"('',)","('',)","('',)",,
186,"('Senior Programmer',)","('Yayasan Bina Nusantara',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary,13 Apr - 2:30 PM
187,"('Web Programmer',)","('sharedvis powered by Infomedia',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,13 Apr - 12:34 PM
188,"('PHP PROGRAMMER',)","('PT Infomedia Solusi Humanika',)","('Jakarta Raya - Jakarta Utara',)","IDR 8,000,000 - 8,500,000",13 Apr - 12:02 PM
189,"('IT Web Dev Programmer Staff',)","('PT Supra Boga Lestari Tbk',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary,09 Apr - 7:47 PM
190,"('PHP Programmer',)","('PT Innovis Cipta Teknologi',)","('Jakarta Barat (Jakarta Raya)',)","IDR 10,000,000 - 13,000,000",09 Apr - 12:25 PM
191,"('IT Programmer / Developer',)","('INDOMARET GROUP',)","('Yogyakarta',)",,09 Apr - 11:38 AM
192,"('Junior .NET Programmer',)","('PT Datacaraka Solusindo',)","('Jakarta Raya',)","IDR 5,000,000 - 6,000,000",09 Apr - 11:36 AM
193,"('IT Programmer',)","('PT Prakarsa Alam Segar',)","('Bekasi (Jawa Barat) - Pondok Ungu, Bekasi Utara',)",Above Expected Salary,08 Apr - 3:58 PM
194,"('Programmer PHP',)","('PT Propan Raya Industrial Coating Chemicals',)","('Tangerang (Banten)',)",Above Expected Salary,08 Apr - 2:29 PM
195,"('Programmer Specialist',)","('PT Tirta Varia Intipratama (Distributor AQUA)',)","('Jakarta Barat (Jakarta Raya), Tangerang (Banten)',)",Above Expected Salary,07 Apr - 2:36 PM
196,"('Junior Programmer',)","('PT Mitra Mandiri Informatika',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,06 Apr - 6:31 PM
197,"('IT Front End Programmer',)","('PT Sumber Wahana Sejahtera',)","('Tangerang (Banten)',)","IDR 7,000,000 - 9,100,000",06 Apr - 12:02 PM
198,"('Bootcamp Junior Programmer',)","('PT. Metrodata Electronics, Tbk',)","('Jakarta Raya',)",Above Expected Salary,06 Apr - 10:21 AM
199,"('Software Developer',)","('PT Penguin Trading',)","('Jakarta Raya',)",Above Expected Salary,7 hours ago
200,"('Mobile Developer Specialist',)","('PT Asuransi Jiwa Sinarmas MSIG',)","('Jakarta Selatan (Jakarta Raya) - Sinarmas MSIG Tower',)",Above Expected Salary,02 May - 1:00 AM
201,"('IT Supervisor',)","('LIFEPHARM INDONESIA',)","('Jakarta Raya - Jakarta Barat',)",Above Expected Salary,30 Apr - 2:40 PM
202,"('ABAPER',)","('PT KPN Corp.',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,25 Apr - 1:00 AM
203,"('Project Manager (IT)',)","('PT Keluarga Satu Nol',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,21 Apr - 2:23 PM
204,"('IT Developer',)","('PT Ramayana Lestari Sentosa Tbk',)","('Jakarta Raya',)",Above Expected Salary,09 Apr - 8:58 PM
205,"('',)","('',)","('',)",,
